customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00001,Male,No,No,Yes,3.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,68.61,205.83,1
CUST00002,Male,Yes,Yes,No,2.0,Yes,Yes,DSL,No,No,No internet service,Yes,No internet service,No,One year,Yes,Bank transfer,23.15,46.3,0
CUST00003,Female,No,No,No,42.0,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Electronic check,42.63,1790.46,1
CUST00004,Female,No,No,Yes,40.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,No,Electronic check,75.04,3001.6,0
CUST00005,Male,Yes,Yes,Yes,17.0,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No internet service,No,Two year,Yes,Electronic check,22.38,380.46,1
CUST00006,Male,No,Yes,No,18.0,Yes,No,Fiber optic,No,No,No internet service,Yes,No internet service,No,One year,No,Electronic check,37.23,670.14,1
CUST00007,Female,No,No,No,25.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,67.47,1686.75,0
CUST00008,Female,No,Yes,No,33.0,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No internet service,Two year,No,Electronic check,76.3,2517.9,0
CUST00009,Female,No,Yes,No,6.0,Yes,Yes,DSL,Yes,No,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,64.86,389.16,0
CUST00010,Female,No,Yes,No,20.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.6,0.0,1
CUST00011,Female,No,No,No,18.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,49.17,885.06,0
CUST00012,Male,No,Yes,No,22.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.2,510.4,1
CUST00013,Female,Yes,Yes,No,10.0,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,34.57,345.7,0
